                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2005,                 1.0027,                 1.2555,                0.64197,                 0.5234,                0.56419,                0.34612,                 1.5209,                 1.4671,                 1.4764,               0.008878,               0.008878,               0.008878
                     36,                 1.1956,                0.99246,                 1.2544,                0.67285,                0.54871,                0.59849,                0.37404,                 1.4746,                 1.3153,                  1.445,               0.008845,               0.008845,               0.008845
                     37,                 1.1932,                0.98464,                 1.2515,                0.72516,                 0.5091,                0.57624,                0.35597,                 1.4923,                 1.3888,                 1.4652,               0.008812,               0.008812,               0.008812
                     38,                 1.1881,                0.96825,                 1.2503,                 0.6959,                 0.5443,                0.60202,                0.36256,                 1.4819,                 1.3795,                 1.4522,               0.008779,               0.008779,               0.008779
                     39,                 1.1796,                0.96203,                 1.2411,                 0.6988,                0.47625,                0.55448,                0.33541,                 1.5222,                 1.5058,                  1.488,               0.008746,               0.008746,               0.008746
                     40,                 1.1762,                0.95911,                 1.2374,                0.71033,                0.53383,                0.60601,                0.37877,                 1.4716,                 1.3544,                 1.4354,               0.008713,               0.008713,               0.008713
                     41,                 1.1767,                0.95415,                 1.2374,                0.67065,                0.51955,                0.58375,                0.36092,                 1.4967,                  1.462,                  1.464,                0.00868,                0.00868,                0.00868
                     42,                 1.1652,                0.93302,                 1.2317,                0.69531,                0.51545,                0.58673,                0.36246,                 1.5059,                 1.3643,                 1.4614,               0.008647,               0.008647,               0.008647
                     43,                 1.1543,                0.93445,                 1.2257,                0.68693,                0.55591,                 0.5982,                0.35908,                 1.5036,                 1.3367,                 1.4636,               0.008614,               0.008614,               0.008614
                     44,                 1.1577,                0.93021,                 1.2263,                0.71932,                0.53767,                0.60531,                0.37467,                 1.4974,                  1.346,                 1.4597,               0.008581,               0.008581,               0.008581
                     45,                 1.1503,                0.91183,                 1.2169,                0.72933,                0.56003,                0.62938,                0.38656,                 1.4775,                 1.2898,                 1.4319,               0.008548,               0.008548,               0.008548
                     46,                  1.151,                0.92413,                 1.2215,                0.71283,                0.52454,                0.59033,                0.36862,                 1.4975,                    1.4,                  1.459,               0.008515,               0.008515,               0.008515
